"file","object","md5","bytes","class","features","attributes","crs","all_valid"
"Pipi_QMA.rda","Pipi_QMA","e2671470248050ac11a99f424b1d61c1",135080,"sf;data.frame",10,5,"EPSG:4326",TRUE
"rock_lobster_stat_areas.rda","rock_lobster_stat_areas","9540e1375f88fb5a04cdae560d2b541e",39416,"sf;data.frame",43,16,"EPSG:4326",TRUE
"Rocky_reef_National_NZ.rda","Rocky_reef_National_NZ","fe0fe3880e82cc0565342d166baca9c7",3813096,"sf;data.frame",4817,1,"EPSG:2193",TRUE
"Scallop_QMA.rda","Scallop_QMA","3fa454dd52dc2e644a3390b96cd35d09",147460,"sf;data.frame",13,5,"EPSG:4326",TRUE
"Scampi_QMA.rda","Scampi_QMA","bd9ffb8f6d6412b9145f5a89f0019867",76892,"sf;data.frame",11,4,"EPSG:3994",TRUE
"SilverWarehou_QMA.rda","SilverWarehou_QMA","9c93af94572a39cc30e51c5f970f370e",133748,"sf;data.frame",4,4,"EPSG:4326",TRUE
"SIOFA.rda","SIOFA","070d5a9f31e8b2f187285321aab9bb3d",12196,"sf;data.frame",9,29,"WGS 84",TRUE
"SouthernBlueWhiting_QMA.rda","SouthernBlueWhiting_QMA","10408e3c5199177dfaa1d015adfb2195",142708,"sf;data.frame",5,4,"EPSG:4326",TRUE
"SpinyRedRockLobster_QMA.rda","SpinyRedRockLobster_QMA","a4c1c2b795fc3c3c14bd13f9c41e34cd",148308,"sf;data.frame",10,4,"EPSG:4326",TRUE
"SPRFMO.rda","SPRFMO","cbb2a05f878c19592ddb6d7959e1dc47",86072,"sf;data.frame",8,3,"WGS 84",TRUE
"Squid_QMA.rda","Squid_QMA","b4747af36fdf19de915456fa4d8bfc0d",65624,"sf;data.frame",3,4,"EPSG:3994",TRUE
"territorial_sea_outer_limit_12_mile.rda","territorial_sea_outer_limit_12_mile","679ce53b8f13b9e38662910c9a0ccb79",211848,"sf;data.frame",930,4,"EPSG:4326",TRUE
